"Mês","DATA.MOV.","DATA.VALOR","DESCRIÇÃO","IMPORTÂNCIA","SALDO.CONTABILÍSTICO","CENTRO.DE.CUSTO","RUBRICA"
"3",2021-03-01,2021-03-01,"SP-00026322892 SECURITAS DIREC",-51.08,7043.04,"INSTALAÇÕES","SECURITAS - ALARME"
"3",2021-03-01,2021-03-01,"COMPRA   POUPANCA MEM MARTINS",-50.04,6993,"INSTALAÇÕES","PRODUTOS DE LIMPEZA"
"3",2021-03-01,2021-03-01,"EMISSÃO EXTR. CONTA-2021-02-28",-1,6992,"INSTALAÇÕES","DESP. BANCÁRIAS"
"3",2021-03-01,2021-03-01,"I.SELO OP.BANC.    -2021-02-28",-0.04,6991.96,"INSTALAÇÕES","DESP. BANCÁRIAS"
"3",2021-03-02,2021-03-02,"COMISSÃO MANUTENÇÃO DE CONTA",-5,6986.96,"INSTALAÇÕES","DESP. BANCÁRIAS"
"3",2021-03-02,2021-03-02,"I.SELO OP.BANC.",-0.2,6986.76,"INSTALAÇÕES","DESP. BANCÁRIAS"
"3",2021-03-03,2021-03-03,"SP-96611566046 Servicos Munici",-18.94,6967.82,"INSTALAÇÕES","CONSUMO ÁGUA (SMAS)"
"3",2021-03-08,2021-03-08,"SP-10367661    MAFEP MATERIAL",-29.52,6938.3,"INSTALAÇÕES","ALUGUER EXTINTORES"
"3",2021-03-09,2021-03-09,"SP-00531446107 VODAFONE PORTUG",-61.38,6876.92,"INSTALAÇÕES","COMUNICAÇÕES"
"3",2021-03-11,2021-03-11,"COMPRA   POUPANCA MEM MARTINS",-12.95,6863.97,"INSTALAÇÕES","PRODUTOS DE LIMPEZA"
"3",2021-03-11,2021-03-11,"COMPRA   LEROY MERLIN SINTRA",-64.98,6798.99,"INSTALAÇÕES","MANUTENÇÃO / OBRAS"
"3",2021-03-18,2021-03-18,"SP-P05100001520SU ELETRICIDADE",-14.13,6784.86,"INSTALAÇÕES","CONSUMO ELECTRICIDADE"
"3",2021-03-18,2021-03-18,"SP-P05100001520SU ELETRICIDADE",-102.65,6682.21,"INSTALAÇÕES","CONSUMO ELECTRICIDADE"
"3",2021-03-22,2021-03-22,"COMPRA   POUPANCA MEM MARTINS",-12.37,6669.84,"INSTALAÇÕES","PRODUTOS DE LIMPEZA"
"3",2021-03-26,2021-03-26,"TR-Servicos Municipalizados de",0.09,6669.93,"INSTALAÇÕES","CONSUMO ÁGUA (SMAS)"
"3",2021-03-27,2021-03-27,"COMPRA   PIRIQUITA",-17.2,6652.73,"INSTALAÇÕES","ENCARGOS COM COLABORADORES"
