"Mês","DATA.MOV.","DATA.VALOR","DESCRIÇÃO","IMPORTÂNCIA","SALDO.CONTABILÍSTICO","CENTRO.DE.CUSTO","RUBRICA"
"5",2021-05-03,2021-05-03,"SP-00026322892 SECURITAS DIREC",-51.08,5877.99,"INSTALAÇÕES","SECURITAS - ALARME"
"5",2021-05-04,2021-05-04,"TR-UNIAO FREGUESIAS SINTRA",4000,9877.99,"TEATRO UNIÃO","APOIO"
"5",2021-05-05,2021-05-05,"SP-00531446107 VODAFONE PORTUG",-47.27,9830.72,"INSTALAÇÕES","COMUNICAÇÕES"
"5",2021-05-12,2021-05-12,"SP-10367661    MAFEP MATERIAL",-29.52,9801.2,"INSTALAÇÕES","ALUGUER EXTINTORES"
"5",2021-05-13,2021-05-13,"SOLUÇÃO ESOCIAL",-4,9797.2,"INSTALAÇÕES","DESP. BANCÁRIAS"
"5",2021-05-13,2021-05-13,"I.S. COM. MAN. CTA PACOTE",-0.16,9797.04,"INSTALAÇÕES","DESP. BANCÁRIAS"
"5",2021-05-19,2021-05-19,"TR-MEDIMAPE SOC MEDIADORA SEGU",2588.99,12386.03,"INSTALAÇÕES","SEGUROS"
"5",2021-05-19,2021-05-19,"SP-50076845118 ENDESA ENERGIA",-192.5,12193.53,"INSTALAÇÕES","CONSUMO ELECTRICIDADE"
"5",2021-05-19,2021-05-19,"SP-50076845506 ENDESA ENERGIA",-11.54,12181.99,"INSTALAÇÕES","CONSUMO ELECTRICIDADE"
"5",2021-05-28,2021-05-28,"SP-96611566046 Servicos Munici",-14.85,12167.14,"INSTALAÇÕES","CONSUMO ÁGUA (SMAS)"
"5",2021-05-31,2021-05-31,"SP-20000453514 FIDELIDADE COMP",-220.69,11946.45,"INSTALAÇÕES","SEGUROS"
"5",2021-05-31,2021-05-31,"SP-20000448811 FIDELIDADE COMP",-228.9,11717.55,"INSTALAÇÕES","SEGUROS"
