"Mês","DATA.MOV.","DATA.VALOR","DESCRIÇÃO","IMPORTÂNCIA","SALDO.CONTABILÍSTICO","CENTRO.DE.CUSTO","RUBRICA"
"7",2021-07-01,2021-07-01,"SP-00026322892 SECURITAS DIREC",-51.08,11293.91,"INSTALAÇÕES","SECURITAS - ALARME"
"7",2021-07-02,2021-07-02,"COMPRA   LEROY MERLIN SINTRA",-14.97,11278.94,"INSTALAÇÕES","EQUIPAMENTOS"
"7",2021-07-05,2021-07-05,"SP-96611566046 Servicos Munici",-14.44,11264.5,"INSTALAÇÕES","CONSUMO ÁGUA (SMAS)"
"7",2021-07-05,2021-07-05,"SP-00531446107 VODAFONE PORTUG",-53.71,11210.79,"INSTALAÇÕES","COMUNICAÇÕES"
"7",2021-07-12,2021-07-12,"SP-10367661    MAFEP MATERIAL",-29.52,11181.27,"INSTALAÇÕES","ALUGUER EXTINTORES"
"7",2021-07-12,2021-07-12,"LEV.ATM    3503",-150,11031.27,"INSTALAÇÕES","JARDIM"
"7",2021-07-12,2021-07-12,"LEV.ATM    3503",-20,11011.27,"INSTALAÇÕES","ENCARGOS COM COLABORADORES"
"7",2021-07-13,2021-07-13,"TRF. PT50007900007767402810116",-307.5,10703.77,"INSTALAÇÕES","RENDA"
"7",2021-07-13,2021-07-13,"SOLUÇÃO ESOCIAL",-4,10699.77,"INSTALAÇÕES","DESP. BANCÁRIAS"
"7",2021-07-13,2021-07-13,"I.S. COM. MAN. CTA PACOTE",-0.16,10699.61,"INSTALAÇÕES","DESP. BANCÁRIAS"
"7",2021-07-21,2021-07-21,"SP-50076845118 ENDESA ENERGIA",-78.86,10620.75,"INSTALAÇÕES","CONSUMO ELECTRICIDADE"
"7",2021-07-21,2021-07-21,"SP-50076845506 ENDESA ENERGIA",-10.6,10610.15,"INSTALAÇÕES","CONSUMO ELECTRICIDADE"
"7",2021-07-27,2021-07-27,"SP-96611566046 Servicos Munici",-13.14,10597.01,"INSTALAÇÕES","CONSUMO ÁGUA (SMAS)"
