"Mês","DATA.MOV.","DATA.VALOR","DESCRIÇÃO","IMPORTÂNCIA","SALDO.CONTABILÍSTICO","CENTRO.DE.CUSTO","RUBRICA"
"8",2021-08-02,2021-08-02,"SP-00026322892 SECURITAS DIREC",-51.08,10545.93,"INSTALAÇÕES","SECURITAS - ALARME"
"8",2021-08-03,2021-08-03,"SP-00531446107 VODAFONE PORTUG",-53.71,10492.22,"INSTALAÇÕES","COMUNICAÇÕES"
"8",2021-08-09,2021-08-09,"SP-10367661    MAFEP MATERIAL",-29.52,10462.7,"INSTALAÇÕES","ALUGUER EXTINTORES"
"8",2021-08-11,2021-08-11,"TR-REEMBOLSOS  IRC",400,10862.7,"INSTALAÇÕES","IMPOSTOS"
"8",2021-08-13,2021-08-13,"SOLUÇÃO ESOCIAL",-4,10858.7,"INSTALAÇÕES","DESP. BANCÁRIAS"
"8",2021-08-13,2021-08-13,"I.S. COM. MAN. CTA PACOTE",-0.16,10858.54,"INSTALAÇÕES","DESP. BANCÁRIAS"
"8",2021-08-18,2021-08-18,"SP-50076845506 ENDESA ENERGIA",-10.88,10847.66,"INSTALAÇÕES","CONSUMO ELECTRICIDADE"
"8",2021-08-18,2021-08-18,"SP-50076845118 ENDESA ENERGIA",-58.99,10788.67,"INSTALAÇÕES","CONSUMO ELECTRICIDADE"
"8",2021-08-18,2021-08-18,"SP-20000453514 FIDELIDADE COMP",-215.04,10573.63,"INSTALAÇÕES","SEGUROS"
"8",2021-08-24,2021-08-24,"PAG. NET24 DUC 702780077986199",-25.5,10548.13,"INSTALAÇÕES","RENDA"
"8",2021-08-26,2021-08-26,"SP-96611566046 Servicos Munici",-14.44,10533.69,"INSTALAÇÕES","CONSUMO ÁGUA (SMAS)"
"8",2021-08-28,2021-08-28,"PAG.SERV. 20237 015883310",-94.91,10438.78,"INSTALAÇÕES","RENDA"
