"Mês","DATA.MOV.","DATA.VALOR","DESCRIÇÃO","IMPORTÂNCIA","SALDO.CONTABILÍSTICO","CENTRO.DE.CUSTO","RUBRICA"
"9",2021-09-01,2021-09-01,"SP-00026322892 SECURITAS DIREC",-51.08,10387.7,"INSTALAÇÕES","SECURITAS - ALARME"
"9",2021-09-03,2021-09-03,"SP-00531446107 VODAFONE PORTUG",-54.36,10333.34,"INSTALAÇÕES","COMUNICAÇÕES"
"9",2021-09-03,2021-09-03,"COMPRA   LIVRARIA MUNICIPAL",-95.94,10237.4,"ATIVIDADES DIVERSAS","COMPRAS"
"9",2021-09-09,2021-09-09,"SP-10367661    MAFEP MATERIAL",-29.52,10207.88,"INSTALAÇÕES","ALUGUER EXTINTORES"
"9",2021-09-13,2021-09-13,"PAG.SERV. 20237 016254783",-75.79,10132.09,"INSTALAÇÕES","RENDA"
"9",2021-09-13,2021-09-13,"SOLUÇÃO ESOCIAL",-4,10128.09,"INSTALAÇÕES","DESP. BANCÁRIAS"
"9",2021-09-13,2021-09-13,"I.S. COM. MAN. CTA PACOTE",-0.16,10127.93,"INSTALAÇÕES","DESP. BANCÁRIAS"
"9",2021-09-16,2021-09-16,"PAG.SERV. 20237 016419111",-332.61,9795.32,"INSTALAÇÕES","RENDA"
"9",2021-09-20,2021-09-20,"SP-50076845506 ENDESA ENERGIA",-11.69,9783.63,"INSTALAÇÕES","CONSUMO ELECTRICIDADE"
"9",2021-09-20,2021-09-20,"SP-50076845118 ENDESA ENERGIA",-60.54,9723.09,"INSTALAÇÕES","CONSUMO ELECTRICIDADE"
"9",2021-09-20,2021-09-20,"TRF. PT50001800000570642600184",-50.1,9672.99,"TEATRO UNIÃO","GUARDA ROUPA"
"9",2021-09-27,2021-09-27,"SP-96611566046 Servicos Munici",-44.49,9628.5,"INSTALAÇÕES","CONSUMO ÁGUA (SMAS)"
