"Mês","DATA.MOV.","DATA.VALOR","DESCRIÇÃO","IMPORTÂNCIA","SALDO.CONTABILÍSTICO","CENTRO.DE.CUSTO","RUBRICA"
"10",2021-10-01,2021-10-01,"SP-00026322892 SECURITAS DIREC",-51.08,9577.42,"INSTALAÇÕES","SECURITAS - ALARME"
"10",2021-10-04,2021-10-04,"SP-00531446107 VODAFONE PORTUG",-53.71,9523.71,"INSTALAÇÕES","COMUNICAÇÕES"
"10",2021-10-12,2021-10-12,"SP-10367661    MAFEP MATERIAL",-29.52,9494.19,"INSTALAÇÕES","ALUGUER EXTINTORES"
"10",2021-10-13,2021-10-13,"SOLUÇÃO ESOCIAL",-4,9490.19,"INSTALAÇÕES","DESP. BANCÁRIAS"
"10",2021-10-13,2021-10-13,"I.S. COM. MAN. CTA PACOTE",-0.16,9490.03,"INSTALAÇÕES","DESP. BANCÁRIAS"
"10",2021-10-14,2021-10-14,"COMPRA   PARK DOS TECIDOS",-68.9,9421.13,"TEATRO UNIÃO","CENÁRIO"
"10",2021-10-14,2021-10-14,"TR-ESTR-BOUNDLESS HOSPITALITY",2980,12401.13,"INSTALAÇÕES","RENDA"
"10",2021-10-19,2021-10-19,"SP-50076845118 ENDESA ENERGIA",-64.09,12337.04,"INSTALAÇÕES","CONSUMO ELECTRICIDADE"
"10",2021-10-19,2021-10-19,"SP-50076845506 ENDESA ENERGIA",-9.66,12327.38,"INSTALAÇÕES","CONSUMO ELECTRICIDADE"
"10",2021-10-29,2021-10-29,"SP-96611566046 Servicos Munici",-18.51,12308.87,"INSTALAÇÕES","CONSUMO ÁGUA (SMAS)"
