Mês;DATA.MOV.;DATA.VALOR;DESCRIÇÃO;IMPORTÂNCIA;SALDO.CONTABILÍSTICO;CENTRO.DE.CUSTO;RUBRICA
11;2021-11-01;2021-11-01;SP-00026322892 SECURITAS DIREC;-51.08;12257.79;INSTALAÇÕES;INSTALAÇÕES
11;2021-11-02;2021-11-02;TRF.P/ COMPATIBLE SELECTION;-1845;10412.79;INSTALAÇÕES;RENDA
11;2021-11-03;2021-11-03;TR-MUNICIPIO DE SINTRA;1350;11762.79;TEATRO UNIÃO;APOIO
11;2021-11-03;2021-11-03;COMPRA   LEROY MERLIN SINTRA;-93.31;11669.48;TEATRO UNIÃO;CENÁRIO
11;2021-11-04;2021-11-04;SP-00531446107 VODAFONE PORTUG;-53.71;11615.77;INSTALAÇÕES;COMUNICAÇÕES
11;2021-11-10;2021-11-10;SP-10367661    MAFEP MATERIAL;-29.52;11586.25;INSTALAÇÕES;ALUGUER EXTINTORES
11;2021-11-13;2021-11-13;SOLUÇÃO ESOCIAL;-4;11582.25;INSTALAÇÕES;DESP. BANCÁRIAS
11;2021-11-13;2021-11-13;I.S. COM. MAN. CTA PACOTE;-0.16;11582.09;INSTALAÇÕES;DESP. BANCÁRIAS
11;2021-11-18;2021-11-18;SP-50076845118 ENDESA ENERGIA;-62.55;11519.54;INSTALAÇÕES;CONSUMO ELECTRICIDADE
11;2021-11-18;2021-11-18;SP-50076845506 ENDESA ENERGIA;-11.34;11508.2;INSTALAÇÕES;CONSUMO ELECTRICIDADE
11;2021-11-18;2021-11-18;SP-20000453514 FIDELIDADE COMP;-215.04;11293.16;INSTALAÇÕES;SEGUROS
11;2021-11-24;2021-11-24;COMPRA   TIGER FORUM SINTRA;-16;11277.16;TEATRO UNIÃO;CENÁRIO
11;2021-11-26;2021-11-26;SP-96611566046 Servicos Munici;-10.36;11266.8;INSTALAÇÕES;CONSUMO ÁGUA (SMAS)
11;2021-11-26;2021-11-24;COMPRA   PRIMARK SINTRA-FORUM;-31.1;11235.7;TEATRO UNIÃO;GUARDA ROUPA
11;2021-11-30;2021-11-30;COMPRA   CABICOM LDA;-27.06;11208.64;INSTALAÇÕES;EQUIPAMENTOS
11;2021-11-30;2021-11-30;ANUL.CPR CABICOM LDA;27.06;11235.7;INSTALAÇÕES;EQUIPAMENTOS
11;2021-11-30;2021-11-30;COMPRA   CABICOM LDA;-27.06;11208.64;INSTALAÇÕES;EQUIPAMENTOS
11;2021-11-30;2021-11-30;ANUL.CPR CABICOM LDA;27.06;11235.7;INSTALAÇÕES;EQUIPAMENTOS
11;2021-11-30;2021-11-30;COMPRA   CABICOM LDA;-27.06;11208.64;INSTALAÇÕES;EQUIPAMENTOS
11;2021-11-30;2021-11-30;ANUL.CPR CABICOM LDA;27.06;11235.7;INSTALAÇÕES;EQUIPAMENTOS
11;2021-11-30;2021-11-30;COMPRA   STAPLES PORTUGAL SA;-54.8;11180.9;INSTALAÇÕES;MATERIAL ESCRITÓRIO
11;2021-11-30;2021-11-30;TRF.P/ RICARDO PEREIRA;-27.06;11153.84;INSTALAÇÕES;EQUIPAMENTOS
11;2021-11-30;2021-11-30;TRF.P/ BARBARA RITA SANTOS;-16.95;11136.89;TEATRO UNIÃO;GUARDA ROUPA
11;2021-11-30;2021-11-30;PAG. NET24 DUC 163421074148959;-200;10936.89;INSTALAÇÕES;RENDA
