"Mês","DATA.MOV.","DATA.VALOR","DESCRIÇÃO","IMPORTÂNCIA","SALDO.CONTABILÍSTICO","CENTRO.DE.CUSTO","RUBRICA"
"12",2021-12-01,2021-12-01,"SP-00026322892 SECURITAS DIREC",-51.08,10885.81,"INSTALAÇÕES","SECURITAS - ALARME"
"12",2021-12-07,2021-12-07,"SP-00531446107 VODAFONE PORTUG",-53.71,10832.1,"INSTALAÇÕES","COMUNICAÇÕES"
"12",2021-12-07,2021-12-07,"COMPRA   LEROY MERLIN SINTRA",-49.99,10782.11,"TEATRO UNIÃO","CENÁRIO"
"12",2021-12-09,2021-12-09,"SP-10367661    MAFEP MATERIAL",-29.52,10752.59,"INSTALAÇÕES","ALUGUER EXTINTORES"
"12",2021-12-10,2021-12-10,"COMPRA   TECIDOS E COMPANHIA",-70.45,10682.14,"TEATRO UNIÃO","CENÁRIO"
"12",2021-12-13,2021-12-13,"SOLUÇÃO ESOCIAL",-4,10678.14,"INSTALAÇÕES","DESP. BANCÁRIAS"
"12",2021-12-13,2021-12-13,"I.S. COM. MAN. CTA PACOTE",-0.16,10677.98,"INSTALAÇÕES","DESP. BANCÁRIAS"
"12",2021-12-15,2021-12-15,"COMPRA   LEROY MERLIN SINTRA",-43.11,10634.87,"INSTALAÇÕES","MANUTENÇÃO / OBRAS"
"12",2021-12-20,2021-12-20,"SP-50076845506 ENDESA ENERGIA",-11.07,10623.8,"INSTALAÇÕES","CONSUMO ELECTRICIDADE"
"12",2021-12-20,2021-12-20,"SP-50076845118 ENDESA ENERGIA",-63.4,10560.4,"INSTALAÇÕES","CONSUMO ELECTRICIDADE"
"12",2021-12-20,2021-12-20,"COMPRA   CASA PRETOENINOS 40",-12.45,10547.95,"TEATRO UNIÃO","ENCARGOS COM COLABORADORES"
"12",2021-12-29,2021-12-29,"SP-96611566046 Servicos Munici",-14.01,10533.94,"INSTALAÇÕES","CONSUMO ÁGUA (SMAS)"
