"";"DATA.MOV.";"DATA.VALOR";"DESCRIÇÃO";"IMPORTÂNCIA";"SALDO.CONTABILÍSTICO"
"1";2022-03-01;2022-03-01;"SP-96611566046 Servicos Munici";-15,62;9698,16
"2";2022-03-01;2022-03-01;"SP-00026322892 SECURITAS DIREC";-52,31;9645,85
"3";2022-03-06;2022-03-06;"COMPRA   MEDIA MARKT SINTRA";-15,98;9629,87
"4";2022-03-07;2022-03-07;"COMPRA   SINTRA ELECTRICA DE";-55,5;9574,37
"5";2022-03-07;2022-03-07;"TRF.P/ TIPOGRAFIA MEDINA SA";-15,1;9559,27
"6";2022-03-07;2022-03-07;"TRF.P/ SOCIEDADE PORTUGUESA DE";-37,5;9521,77
"7";2022-03-07;2022-03-07;"TRF.P/ MEDIMAPE";-102,12;9419,65
"8";2022-03-07;2022-03-07;"TRF.P/ BARBARA RITA SANTOS";-8;9411,65
"9";2022-03-11;2022-03-11;"SP-00531446107 VODAFONE PORTUG";-54,61;9357,04
"10";2022-03-12;2022-03-12;"COMPRA   LEROY MERLIN SINTRA";-85,51;9271,53
"11";2022-03-12;2022-03-12;"COMPRA   FORUM CHINA";-67,05;9204,48
"12";2022-03-13;2022-03-13;"SOLUÇÃO ESOCIAL";-4;9200,48
"13";2022-03-13;2022-03-13;"I.S. COM. MAN. CTA PACOTE";-0,16;9200,32
"14";2022-03-14;2022-03-14;"SP-10367661    MAFEP MATERIAL";-29,52;9170,8
"15";2022-03-14;2022-03-14;"COMPRA   PARK DOS TECIDOS";-17,26;9153,54
"16";2022-03-14;2022-03-14;"COMPRA   AURORA CELESTIAL";-58,25;9095,29
"17";2022-03-14;2022-03-14;"COMPRA   POUPANCA MEM MARTINS";-45,35;9049,94
"18";2022-03-14;2022-03-14;"COMPRA   HIPER CHINA";-59,35;8990,59
"19";2022-03-14;2022-03-14;"COMPRA   TINTAS CIN - SINTRA";-64,13;8926,46
"20";2022-03-14;2022-03-14;"TRF. AMÉLIA IRENE FRANÇA RODRI";-500;8426,46
"21";2022-03-17;2022-03-17;"COMPRA   STAPLES PORTUGAL SA";-18,67;8407,79
"22";2022-03-18;2022-03-18;"COMPRA   PALADARES FRESCOS";-44,7;8363,09
"23";2022-03-18;2022-03-18;"COMPRA   POUPANCA MEM MARTINS";-60,12;8302,97
"24";2022-03-18;2022-03-18;"COMPRA   FORUM CHINA";-56,3;8246,67
"25";2022-03-19;2022-03-19;"COMPRA   PIRIQUITA II";-40;8206,67
"26";2022-03-21;2022-03-21;"SP-50076845118 ENDESA ENERGIA";-43,32;8163,35
"27";2022-03-22;2022-03-22;"SP-50076845506 ENDESA ENERGIA";-9,15;8154,2
"28";2022-03-22;2022-03-20;"LEVANTAM.  3503";-200;7954,2
"29";2022-03-28;2022-03-28;"SP-96611566046 Servicos Munici";-23,15;7931,05
"30";2022-03-28;2022-03-28;"COMPRA   LEROY MERLIN SINTRA";-43,46;7887,59
"31";2022-03-28;2022-03-28;"COMPRA   LEROY MERLIN SINTRA";-27,94;7859,65
"32";2022-03-30;2022-03-30;"COMPRA   CINTRAFER";-94,76;7764,89
"33";2022-03-30;2022-03-30;"COMPRA   LEROY MERLIN SINTRA";-40,36;7724,53
