"Mês","DATA.MOV.","DATA.VALOR","DESCRIÇÃO","IMPORTÂNCIA","SALDO.CONTABILÍSTICO","CENTRO.DE.CUSTO","RUBRICA"
"2",2022-02-01,2022-02-01,"SP-00026322892 SECURITAS DIREC",-52.31,10242.93,"INSTALAÇÕES","SECURITAS - ALARME"
"2",2022-02-01,2022-02-01,"TR-MARTA ISABEL PINTO VIOLA",36,10278.93,"SÓCIOS","QUOTAS"
"2",2022-02-04,2022-02-04,"SP-00531446107 VODAFONE PORTUG",-53.71,10225.22,"INSTALAÇÕES","COMUNICAÇÕES"
"2",2022-02-10,2022-02-10,"SP-10367661    MAFEP MATERIAL",-29.52,10195.7,"INSTALAÇÕES","ALUGUER EXTINTORES"
"2",2022-02-13,2022-02-13,"SOLUÇÃO ESOCIAL",-4,10191.7,"INSTALAÇÕES","DESP. BANCÁRIAS"
"2",2022-02-13,2022-02-13,"I.S. COM. MAN. CTA PACOTE",-0.16,10191.54,"INSTALAÇÕES","DESP. BANCÁRIAS"
"2",2022-02-13,2022-02-13,"PAG.SERV. 20237 020438265",-39.29,10152.25,"INSTALAÇÕES","RENDA"
"2",2022-02-13,2022-02-13,"TRF.P/ ITPSG",-56.58,10095.67,"INSTALAÇÕES","MANUTENÇÃO / OBRAS"
"2",2022-02-16,2022-02-16,"PAG.SERV. 20237 020618875",-98.31,9997.36,"INSTALAÇÕES","RENDA"
"2",2022-02-18,2022-02-18,"SP-50076845118 ENDESA ENERGIA",-55.3,9942.06,"INSTALAÇÕES","CONSUMO ELECTRICIDADE"
"2",2022-02-18,2022-02-18,"SP-20000453514 FIDELIDADE COMP",-215.04,9727.02,"INSTALAÇÕES","SEGUROS"
"2",2022-02-21,2022-02-21,"SP-50076845506 ENDESA ENERGIA",-13.24,9713.78,"INSTALAÇÕES","CONSUMO ELECTRICIDADE"
