"Mês","DATA.MOV.","DATA.VALOR","DESCRIÇÃO","IMPORTÂNCIA","SALDO.CONTABILÍSTICO","CENTRO.DE.CUSTO","RUBRICA"
"4",2022-04-01,2022-04-01,"SP-00026322892 SECURITAS DIREC",-52.31,7672.22,"INSTALAÇÕES","SECURITAS - ALARME"
"4",2022-04-04,2022-04-04,"SP-01819182700 Lusitania",-14.49,7657.73,"INSTALAÇÕES","SEGUROS"
"4",2022-04-06,2022-04-06,"SP-00531446107 VODAFONE PORTUG",-53.71,7604.02,"INSTALAÇÕES","COMUNICAÇÕES"
"4",2022-04-07,2022-04-07,"SP-10367661    MAFEP MATERIAL",-29.52,7574.5,"INSTALAÇÕES","ALUGUER EXTINTORES"
"4",2022-04-13,2022-04-13,"SOLUÇÃO ESOCIAL",-4,7570.5,"INSTALAÇÕES","DESP. BANCÁRIAS"
"4",2022-04-13,2022-04-13,"I.S. COM. MAN. CTA PACOTE",-0.16,7570.34,"INSTALAÇÕES","DESP. BANCÁRIAS"
"4",2022-04-15,2022-04-15,"COMPRA   AUCHAN SINTRA",-4.29,7566.05,"INSTALAÇÕES","MANUTENÇÃO / OBRAS"
"4",2022-04-19,2022-04-19,"SP-50076845506 ENDESA ENERGIA",-11.73,7554.32,"INSTALAÇÕES","CONSUMO ELECTRICIDADE"
"4",2022-04-19,2022-04-19,"SP-50076845118 ENDESA ENERGIA",-50.48,7503.84,"INSTALAÇÕES","CONSUMO ELECTRICIDADE"
"4",2022-04-29,2022-04-29,"SP-96611566046 Servicos Munici",-18.87,7484.97,"INSTALAÇÕES","CONSUMO ÁGUA (SMAS)"
