"Mês","DATA.MOV.","DATA.VALOR","DESCRIÇÃO","IMPORTÂNCIA","SALDO.CONTABILÍSTICO","CENTRO.DE.CUSTO","RUBRICA"
"6",2022-06-01,2022-06-01,"SP-00026322892 SECURITAS DIREC",-52.31,9403.57,"INSTALAÇÕES","SECURITAS - ALARME"
"6",2022-06-06,2022-06-06,"SP-00531446107 VODAFONE PORTUG",-53.71,9349.86,"INSTALAÇÕES","COMUNICAÇÕES"
"6",2022-06-08,2022-06-08,"SP-10367661    MAFEP MATERIAL",-29.52,9320.34,"INSTALAÇÕES","ALUGUER EXTINTORES"
"6",2022-06-08,2022-06-08,"TR-IPS-BDLS HSP, UNIPESSOAL LD",1000,10320.34,"INSTALAÇÕES","RENDA"
"6",2022-06-12,2022-06-12,"TRF.IPS P/ MARTA ISABEL PINTO",-55,10265.34,"ANIVERSÁRIO SUS","COMPRAS"
"6",2022-06-12,2022-06-12,"TRF.IPS P/ RICARDO PEREIRA",-60.09,10205.25,"INSTALAÇÕES","MANUTENÇÃO / OBRAS"
"6",2022-06-12,2022-06-12,"TRF.IPS P/ BARBARA RITA SANTO",-14.95,10190.3,"TEATRO UNIÃO","GUARDA ROUPA"
"6",2022-06-12,2022-06-12,"TRF.IPS P/ BARBARA RITA SANTO",-25,10165.3,"ATIVIDADES DIVERSAS","COMPRAS"
"6",2022-06-12,2022-06-12,"TRF.IPS P/ INOV COMPOSITOS",-153.75,10011.55,"INSTALAÇÕES","MANUTENÇÃO / OBRAS"
"6",2022-06-13,2022-06-13,"SOLUÇÃO ESOCIAL",-4,10007.55,"INSTALAÇÕES","DESP. BANCÁRIAS"
"6",2022-06-13,2022-06-13,"I.S. COM. MAN. CTA PACOTE",-0.16,10007.39,"INSTALAÇÕES","DESP. BANCÁRIAS"
"6",2022-06-14,2022-06-14,"COMPRA   REST PIC NIC",-55.1,9952.29,"INSTALAÇÕES","ENCARGOS COM COLABORADORES"
"6",2022-06-20,2022-06-20,"SP-50076845118 ENDESA ENERGIA",-63.89,9888.4,"INSTALAÇÕES","CONSUMO ELECTRICIDADE"
"6",2022-06-20,2022-06-20,"SP-50076845506 ENDESA ENERGIA",-10.52,9877.88,"INSTALAÇÕES","CONSUMO ELECTRICIDADE"
"6",2022-06-20,2022-06-20,"TRF. AMÉLIA IRENE FRANÇA RODRI",-50,9827.88,"BAR","COMPRAS"
