"Mês","DATA.MOV.","DATA.VALOR","DESCRIÇÃO","IMPORTÂNCIA","SALDO.CONTABILÍSTICO","CENTRO.DE.CUSTO","RUBRICA"
"11",2022-11-01,2022-11-01,"SP-00026322892 SECURITAS DIREC",-56,9061.21,"INSTALAÇÕES","SECURITAS - ALARME"
"11",2022-11-01,2022-11-01,"COMPRA   LEROY MERLIN",-89.99,8971.22,"INSTALAÇÕES","EQUIPAMENTOS"
"11",2022-11-06,2022-11-06,"TRF.IPS P/ RICARDO PEREIRA",-99.03,8872.19,"INSTALAÇÕES","RENDA"
"11",2022-11-06,2022-11-06,"TRF.IPS P/ RICARDO PEREIRA",-17,8855.19,"TEATRO UNIÃO","CENÁRIO"
"11",2022-11-06,2022-11-06,"TRF.IPS P/ RICARDO PEREIRA",-59.99,8795.2,"INSTALAÇÕES","MANUTENÇÃO / OBRAS"
"11",2022-11-07,2022-11-07,"SP-00531446107 VODAFONE PORTUG",-53.71,8741.49,"INSTALAÇÕES","COMUNICAÇÕES"
"11",2022-11-08,2022-11-08,"TR-BDLS HSP, UNIPESSOAL LDA",750,9491.49,"INSTALAÇÕES","RENDA"
"11",2022-11-09,2022-11-09,"SP-10367661    MAFEP MATERIAL",-29.52,9461.97,"INSTALAÇÕES","ALUGUER EXTINTORES"
"11",2022-11-10,2022-11-10,"COMPRA   LIDL AGRADECE",-27.22,9434.75,"INSTALAÇÕES","JARDIM"
"11",2022-11-13,2022-11-13,"SOLUÇÃO ESOCIAL",-4,9430.75,"INSTALAÇÕES","DESP. BANCÁRIAS"
"11",2022-11-13,2022-11-13,"I.S. COM. MAN. CTA PACOTE",-0.16,9430.59,"INSTALAÇÕES","DESP. BANCÁRIAS"
"11",2022-11-18,2022-11-18,"SP-20000453514 FIDELIDADE COMP",-219.14,9211.45,"INSTALAÇÕES","SEGUROS"
"11",2022-11-21,2022-11-21,"COMPRA   FORUM CHINA",-63.35,9148.1,"TEATRO UNIÃO","CENÁRIO"
"11",2022-11-24,2022-11-24,"SP-50076845506 ENDESA ENERGIA",-11.17,9136.93,"INSTALAÇÕES","CONSUMO ELECTRICIDADE"
"11",2022-11-24,2022-11-24,"SP-50076845118 ENDESA ENERGIA",-70.43,9066.5,"INSTALAÇÕES","CONSUMO ELECTRICIDADE"
"11",2022-11-28,2022-11-28,"SP-96611566046 Servicos Munici",-12.83,9053.67,"INSTALAÇÕES","CONSUMO ÁGUA (SMAS)"
