"Mês";"DATA.MOV.";"DATA.VALOR";"DESCRIÇÃO";"IMPORTÂNCIA";"SALDO.CONTABILÍSTICO";"CENTRO.DE.CUSTO";"RUBRICA"
1;"2022-01-03";"2022-01-03";"SP-00026322892 SECURITAS DIREC";-52,31;10481,63;"INSTALAÇÕES";"SECURITAS - ALARME"
1;"2022-01-05";"2022-01-05";"SP-00531446107 VODAFONE PORTUG";-53,71;10427,92;"INSTALAÇÕES";"COMUNICAÇÕES"
1;"2022-01-07";"2022-01-07";"SP-10367661    MAFEP MATERIAL";-29,52;10398,4;"INSTALAÇÕES";"ALUGUER EXTINTORES"
1;"2022-01-13";"2022-01-13";"SOLUÇÃO ESOCIAL";-4;10394,4;"INSTALAÇÕES";"DESP. BANCÁRIAS"
1;"2022-01-13";"2022-01-13";"I.S. COM. MAN. CTA PACOTE";-0,16;10394,24;"INSTALAÇÕES";"DESP. BANCÁRIAS"
1;"2022-01-19";"2022-01-19";"SP-50076845118 ENDESA ENERGIA";-76,8;10317,44;"INSTALAÇÕES";"CONSUMO ELECTRICIDADE"
1;"2022-01-19";"2022-01-19";"SP-50076845506 ENDESA ENERGIA";-13,85;10303,59;"INSTALAÇÕES";"CONSUMO ELECTRICIDADE"
1;"2022-01-27";"2022-01-27";"SP-96611566046 Servicos Munici";-15;10288,59;"INSTALAÇÕES";"CONSUMO ÁGUA (SMAS)"
1;"2022-01-30";"2022-01-30";"COMPRA   LEROY MERLIN SINTRA";-47,35;10241,24;"INSTALAÇÕES";"MANUTENÇÃO / OBRAS"
1;"2022-01-31";"2022-01-31";"TR-IPS-BARBARA RITA SANTOS MEN";12;10253,24;"SÓCIOS";"QUOTAS"
1;"2022-01-31";"2022-01-31";"TRF. SARA MARQUES BOIALVO";42;10295,24;"SÓCIOS";"QUOTAS"
2;"2022-02-01";"2022-02-01";"SP-00026322892 SECURITAS DIREC";-52,31;10242,93;"INSTALAÇÕES";"SECURITAS - ALARME"
2;"2022-02-01";"2022-02-01";"TR-MARTA ISABEL PINTO VIOLA";36;10278,93;"SÓCIOS";"QUOTAS"
2;"2022-02-04";"2022-02-04";"SP-00531446107 VODAFONE PORTUG";-53,71;10225,22;"INSTALAÇÕES";"COMUNICAÇÕES"
2;"2022-02-10";"2022-02-10";"SP-10367661    MAFEP MATERIAL";-29,52;10195,7;"INSTALAÇÕES";"ALUGUER EXTINTORES"
2;"2022-02-13";"2022-02-13";"SOLUÇÃO ESOCIAL";-4;10191,7;"INSTALAÇÕES";"DESP. BANCÁRIAS"
2;"2022-02-13";"2022-02-13";"I.S. COM. MAN. CTA PACOTE";-0,16;10191,54;"INSTALAÇÕES";"DESP. BANCÁRIAS"
2;"2022-02-13";"2022-02-13";"PAG.SERV. 20237 020438265";-39,29;10152,25;"INSTALAÇÕES";"RENDA"
2;"2022-02-13";"2022-02-13";"TRF.P/ ITPSG";-56,58;10095,67;"INSTALAÇÕES";"MANUTENÇÃO / OBRAS"
2;"2022-02-16";"2022-02-16";"PAG.SERV. 20237 020618875";-98,31;9997,36;"INSTALAÇÕES";"RENDA"
2;"2022-02-18";"2022-02-18";"SP-50076845118 ENDESA ENERGIA";-55,3;9942,06;"INSTALAÇÕES";"CONSUMO ELECTRICIDADE"
2;"2022-02-18";"2022-02-18";"SP-20000453514 FIDELIDADE COMP";-215,04;9727,02;"INSTALAÇÕES";"SEGUROS"
2;"2022-02-21";"2022-02-21";"SP-50076845506 ENDESA ENERGIA";-13,24;9713,78;"INSTALAÇÕES";"CONSUMO ELECTRICIDADE"
3;"2022-03-01";"2022-03-01";"SP-96611566046 Servicos Munici";-15,62;9698,16;"INSTALAÇÕES";"CONSUMO ÁGUA (SMAS)"
3;"2022-03-01";"2022-03-01";"SP-00026322892 SECURITAS DIREC";-52,31;9645,85;"INSTALAÇÕES";"SECURITAS - ALARME"
3;"2022-03-06";"2022-03-06";"COMPRA   MEDIA MARKT SINTRA";-15,98;9629,87;"INSTALAÇÕES";"EQUIPAMENTOS"
3;"2022-03-07";"2022-03-07";"COMPRA   SINTRA ELECTRICA DE";-55,5;9574,37;"INSTALAÇÕES";"MANUTENÇÃO / OBRAS"
3;"2022-03-07";"2022-03-07";"TRF.P/ TIPOGRAFIA MEDINA SA";-15,1;9559,27;"INSTALAÇÕES";"OUTROS"
3;"2022-03-07";"2022-03-07";"TRF.P/ SOCIEDADE PORTUGUESA DE";-37,5;9521,77;"NOITE DAS CAMÉLIAS";"IGAC / SPA"
3;"2022-03-07";"2022-03-07";"TRF.P/ MEDIMAPE";-102,12;9419,65;"NOITE DAS CAMÉLIAS";"SEG. AC. TRABALHO"
3;"2022-03-07";"2022-03-07";"TRF.P/ BARBARA RITA SANTOS";-8;9411,65;"NOITE DAS CAMÉLIAS";"OUTROS"
3;"2022-03-11";"2022-03-11";"SP-00531446107 VODAFONE PORTUG";-54,61;9357,04;"INSTALAÇÕES";"COMUNICAÇÕES"
3;"2022-03-12";"2022-03-12";"COMPRA   LEROY MERLIN SINTRA";-85,51;9271,53;"NOITE DAS CAMÉLIAS";"OUTROS"
3;"2022-03-12";"2022-03-12";"COMPRA   FORUM CHINA";-67,05;9204,48;"NOITE DAS CAMÉLIAS";"OUTROS"
3;"2022-03-13";"2022-03-13";"SOLUÇÃO ESOCIAL";-4;9200,48;"INSTALAÇÕES";"DESP. BANCÁRIAS"
3;"2022-03-13";"2022-03-13";"I.S. COM. MAN. CTA PACOTE";-0,16;9200,32;"INSTALAÇÕES";"DESP. BANCÁRIAS"
3;"2022-03-14";"2022-03-14";"SP-10367661    MAFEP MATERIAL";-29,52;9170,8;"INSTALAÇÕES";"ALUGUER EXTINTORES"
3;"2022-03-14";"2022-03-14";"COMPRA   PARK DOS TECIDOS";-17,26;9153,54;"NOITE DAS CAMÉLIAS";"OUTROS"
3;"2022-03-14";"2022-03-14";"COMPRA   AURORA CELESTIAL";-58,25;9095,29;"INSTALAÇÕES";"PRODUTOS DE LIMPEZA"
3;"2022-03-14";"2022-03-14";"COMPRA   POUPANCA MEM MARTINS";-45,35;9049,94;"INSTALAÇÕES";"PRODUTOS DE LIMPEZA"
