"Mês","DATA.MOV.","DATA.VALOR","DESCRIÇÃO","IMPORTÂNCIA","SALDO.CONTABILÍSTICO","CENTRO.DE.CUSTO","RUBRICA"
"2",2023-02-01,2023-02-01,"SP-00026322892 SECURITAS DIREC",-58.43,23587.4,"INSTALAÇÕES","BAR"
"2",2023-02-02,2023-02-02,"COMPRA   STAPLES PORTUGAL SA",-49.19,23538.21,"BAR","COMPRAS"
"2",2023-02-03,2023-02-03,"COMPRA   PINGO DOCE",-31.27,23506.94,"BAR","COMPRAS"
"2",2023-02-05,2023-02-05,"TRF.IPS P/ GLOW IN THE DARK",-75,23431.94,"BAR","COMPRAS"
"2",2023-02-05,2023-02-05,"TRF.IPS P/ JOAO PAULO AFONSO",-500,22931.94,"BAR","COMPRAS"
"2",2023-02-05,2023-02-05,"TRF.IPS P/ DANIEL ALEXANDRE",-70,22861.94,"BAR","COMPRAS"
"2",2023-02-06,2023-02-06,"SP-00531446107 VODAFONE PORTUG",-53.71,22808.23,"INSTALAÇÕES","COMUNICAÇÕES"
"2",2023-02-08,2023-02-08,"TR-IPS-BDLS HSP, UNIPESSOAL LD",750,23558.23,"INSTALAÇÕES","RENDA"
"2",2023-02-09,2023-02-09,"SP-10367661    MAFEP MATERIAL",-29.52,23528.71,"INSTALAÇÕES","ALUGUER EXTINTORES"
"2",2023-02-13,2023-02-13,"SOLUÇÃO ESOCIAL",-4,23524.71,"INSTALAÇÕES","DESP. BANCÁRIAS"
"2",2023-02-13,2023-02-13,"I.S. COM. MAN. CTA PACOTE",-0.16,23524.55,"INSTALAÇÕES","DESP. BANCÁRIAS"
"2",2023-02-20,2023-02-20,"SP-20000453514 FIDELIDADE COMP",-219.14,23305.41,"INSTALAÇÕES","SEGUROS"
"2",2023-02-20,2023-02-20,"COMPRA   AURORA CELESTIAL UNI",-78.36,23227.05,"BAR","COMPRAS"
"2",2023-02-20,2023-02-20,"COMPRA   PARK DOS TECIDOS",-15.39,23211.66,"BAR","COMPRAS"
"2",2023-02-21,2023-02-21,"SP-50076845506 ENDESA ENERGIA",-10.68,23200.98,"INSTALAÇÕES","CONSUMO ELECTRICIDADE"
"2",2023-02-21,2023-02-21,"SP-50076845118 ENDESA ENERGIA",-49.4,23151.58,"INSTALAÇÕES","CONSUMO ELECTRICIDADE"
"2",2023-02-21,2023-02-21,"COMPRA   LEROY MERLIN SINTRA",-19.57,23132.01,"BAR","COMPRAS"
"2",2023-02-21,2023-02-21,"COMPRA   BOTAMINUTO",-14,23118.01,"BAR","COMPRAS"
"2",2023-02-22,2023-02-20,"COMPRA   NEWYORKER",-50.03,23067.98,"BAR","COMPRAS"
"2",2023-02-27,2023-02-27,"LEV.ATM    3503",-200,22867.98,"BAR","COMPRAS"
"2",2023-02-27,2023-02-27,"LEV.ATM    3503",-50,22817.98,"BAR","COMPRAS"
