"Mês","DATA.MOV.","DATA.VALOR","DESCRIÇÃO","IMPORTÂNCIA","SALDO.CONTABILÍSTICO","CENTRO.DE.CUSTO","RUBRICA"
"3",2023-03-01,2023-03-01,"SP-96611566046 Servicos Munici",-18.59,22799.39,"INSTALAÇÕES","CONSUMO ÁGUA (SMAS)"
"3",2023-03-01,2023-03-01,"SP-00026322892 SECURITAS DIREC",-58.43,22740.96,"INSTALAÇÕES","BAR"
"3",2023-03-01,2023-03-01,"COMPRA   AUCHAN SINTRA",-64.07,22676.89,"BAR","COMPRAS"
"3",2023-03-01,2023-03-01,"COMPRA   LEROY MERLIN SINTRA",-160.61,22516.28,"BAR","COMPRAS"
"3",2023-03-02,2023-02-28,"COMPRA   PRIMARK SINTRA-FORUM",-147.6,22368.68,"BAR","COMPRAS"
"3",2023-03-03,2023-03-01,"COMPRA   BRICO DEPOT SINTRA",-95.3,22273.38,"BAR","COMPRAS"
"3",2023-03-06,2023-03-06,"TR-IPS-BDLS HSP, UNIPESSOAL LD",750,23023.38,"INSTALAÇÕES","BAR"
"3",2023-03-07,2023-03-07,"COMPRA   LIDL AGRADECE",-38.62,22984.76,"BAR","COMPRAS"
"3",2023-03-07,2023-03-07,"COMPRA   HIPER CHINA",-25.15,22959.61,"BAR","COMPRAS"
"3",2023-03-08,2023-03-08,"SP-00531446107 VODAFONE PORTUG",-53.71,22905.9,"INSTALAÇÕES","COMUNICAÇÕES"
"3",2023-03-08,2023-03-08,"COMPRA   A.DA COSTA,LDA",-350,22555.9,"BAR","COMPRAS"
"3",2023-03-08,2023-03-08,"COMPRA   FORUM CHINA",-75.12,22480.78,"BAR","COMPRAS"
"3",2023-03-10,2023-03-10,"SP-10367661    MAFEP MATERIAL",-29.52,22451.26,"INSTALAÇÕES","ALUGUER EXTINTORES"
"3",2023-03-12,2023-03-12,"TRF.IPS P/ VASCO PEREIRA",-129,22322.26,"BAR","COMPRAS"
"3",2023-03-12,2023-03-12,"TRF.IPS P/ TIPOGRAFIA MEDINA",-151,22171.26,"BAR","COMPRAS"
"3",2023-03-12,2023-03-12,"TRF.IPS P/ DANIEL ALEXANDRE",-70,22101.26,"BAR","COMPRAS"
"3",2023-03-12,2023-03-12,"TRF.IPS P/ RICARDO PEREIRA",-22.85,22078.41,"BAR","COMPRAS"
"3",2023-03-12,2023-03-12,"TRF.IPS P/ SOCIEDADE PORTUGUE",-38,22040.41,"BAR","COMPRAS"
"3",2023-03-12,2023-03-12,"TRF. CONFEDERAÇÃO P C C RECREI",-267.5,21772.91,"BAR","COMPRAS"
"3",2023-03-13,2023-03-13,"SOLUÇÃO ESOCIAL",-4,21768.91,"INSTALAÇÕES","DESP. BANCÁRIAS"
"3",2023-03-13,2023-03-13,"I.S. COM. MAN. CTA PACOTE",-0.16,21768.75,"INSTALAÇÕES","DESP. BANCÁRIAS"
"3",2023-03-13,2023-03-13,"COMPRA   LEROY MERLIN SINTRA",-58.8,21709.95,"BAR","COMPRAS"
"3",2023-03-14,2023-03-14,"COMPRA   POUPANCA MEM MARTINS",-158.88,21551.07,"COMPRAS","COMPRAS"
"3",2023-03-14,2023-03-14,"COMPRA   FORUM CHINA",-85.35,21465.72,"COMPRAS","COMPRAS"
"3",2023-03-15,2023-03-15,"COMPRA   LEROY MERLIN SINTRA",-26.03,21439.69,"COMPRAS","COMPRAS"
"3",2023-03-17,2023-03-17,"COMPRA   LEROY MERLIN SINTRA",-24.12,21415.57,"COMPRAS","COMPRAS"
"3",2023-03-20,2023-03-20,"COMPRA   MCDONALDS MEM MARTIN",-12.65,21402.92,"BAR","COMPRAS"
"3",2023-03-21,2023-03-21,"SP-50076845118 ENDESA ENERGIA",-60.25,21342.67,"COMPRAS","CONSUMO ELECTRICIDADE"
"3",2023-03-21,2023-03-21,"COMPRA   PASTELARIA GREGORIO",-46.55,21296.12,"COMPRAS","COMPRAS"
"3",2023-03-21,2023-03-21,"COMPRA   FORUM CHINA",-115.2,21180.92,"BAR","COMPRAS"
"3",2023-03-22,2023-03-22,"COMPRA   LIDL AGRADECE",-37.02,21143.9,"BAR","COMPRAS"
"3",2023-03-23,2023-03-23,"SP-50076845506 ENDESA ENERGIA",-12.85,21131.05,"INSTALAÇÕES","CONSUMO ELECTRICIDADE"
