"Mês","DATA.MOV.","DATA.VALOR","DESCRIÇÃO","IMPORTÂNCIA","SALDO.CONTABILÍSTICO","CENTRO.DE.CUSTO","RUBRICA"
"4",2023-04-03,2023-04-03,"SP-00026322892 SECURITAS DIREC",-58.43,18891.47,"INSTALAÇÕES","SECURITAS - ALARME"
"4",2023-04-04,2023-04-04,"SP-01819182700 Lusitania",-14.49,18876.98,"INSTALAÇÕES","SEGUROS"
"4",2023-04-04,2023-04-04,"SP-00531446107 VODAFONE PORTUG",-54.46,18822.52,"INSTALAÇÕES","COMUNICAÇÕES"
"4",2023-04-09,2023-04-09,"TRF.IPS P/ DIAPTECNICA",-1100,17722.52,"BAR","COMPRAS"
"4",2023-04-10,2023-04-10,"TR-IPS-BDLS HSP, UNIPESSOAL LD",750,18472.52,"INSTALAÇÕES","RENDA"
"4",2023-04-12,2023-04-12,"SP-10367661    MAFEP MATERIAL",-29.52,18443,"INSTALAÇÕES","ALUGUER EXTINTORES"
"4",2023-04-13,2023-04-13,"COMPRA   STAPLES PORTUGAL SA",-21.65,18421.35,"BAR","COMPRAS"
"4",2023-04-13,2023-04-13,"SOLUÇÃO ESOCIAL",-4,18417.35,"INSTALAÇÕES","DESP. BANCÁRIAS"
"4",2023-04-13,2023-04-13,"I.S. COM. MAN. CTA PACOTE",-0.16,18417.19,"INSTALAÇÕES","DESP. BANCÁRIAS"
"4",2023-04-15,2023-04-13,"COMPRA   PRIMARK SINTRA-FORUM",-33.2,18383.99,"BAR","COMPRAS"
"4",2023-04-18,2023-04-18,"SP-50076845506 ENDESA ENERGIA",-10.54,18373.45,"INSTALAÇÕES","CONSUMO ELECTRICIDADE"
"4",2023-04-18,2023-04-18,"SP-50076845118 ENDESA ENERGIA",-56.72,18316.73,"INSTALAÇÕES","CONSUMO ELECTRICIDADE"
"4",2023-04-18,2023-04-18,"TR-IPS-BDLS HSP, UNIPESSOAL LD",187.5,18504.23,"INSTALAÇÕES","RENDA"
"4",2023-04-25,2023-04-25,"COMPRA   REST APEADEIRO",-62.3,18441.93,"BAR","COMPRAS"
