"Mês","DATA.MOV.","DATA.VALOR","DESCRIÇÃO","IMPORTÂNCIA","SALDO.CONTABILÍSTICO","CENTRO.DE.CUSTO","RUBRICA"
"1",2023-01-02,2023-01-02,"SP-00026322892 SECURITAS DIREC",-58.43,9474.83,"INSTALAÇÕES","SECURITAS - ALARME"
"1",2023-01-03,2023-01-03,"TRF.IPS P/ VASCO PEREIRA",-176.97,9297.86,"INSTALAÇÕES","IT"
"1",2023-01-03,2023-01-03,"TRF. SARA MARQUES BOIALVO",24,9321.86,"SÓCIOS","QUOTAS"
"1",2023-01-05,2023-01-05,"SP-00531446107 VODAFONE PORTUG",-53.71,9268.15,"INSTALAÇÕES","COMUNICAÇÕES"
"1",2023-01-05,2023-01-05,"COMPRA   JOAQUIM AUGUSTO BISP",-536.76,8731.39,"INSTALAÇÕES","EQUIPAMENTOS"
"1",2023-01-10,2023-01-10,"SP-10367661    MAFEP MATERIAL",-29.52,8701.87,"INSTALAÇÕES","ALUGUER EXTINTORES"
"1",2023-01-13,2023-01-13,"SOLUÇÃO ESOCIAL",-4,8697.87,"INSTALAÇÕES","DESP. BANCÁRIAS"
"1",2023-01-13,2023-01-13,"I.S. COM. MAN. CTA PACOTE",-0.16,8697.71,"INSTALAÇÕES","DESP. BANCÁRIAS"
"1",2023-01-16,2023-01-16,"TR-IPS-BDLS HSP, UNIPESSOAL LD",750,9447.71,"INSTALAÇÕES","RENDA"
"1",2023-01-19,2023-01-19,"SP-50076845506 ENDESA ENERGIA",-10.23,9437.48,"INSTALAÇÕES","CONSUMO ELECTRICIDADE"
"1",2023-01-19,2023-01-19,"SP-50076845118 ENDESA ENERGIA",-49.46,9388.02,"INSTALAÇÕES","CONSUMO ELECTRICIDADE"
"1",2023-01-26,2023-01-26,"SP-96611566046 Servicos Munici",-17.32,9370.7,"INSTALAÇÕES","CONSUMO ÁGUA (SMAS)"
"1",2023-01-31,2023-01-31,"TR-FILIPE ESPINHA LDA",14275.13,23645.83,"INSTALAÇÕES","RENDA"
