CENTRO DE CUSTO;RUBRICA
BAR;COMPRAS
BAR;RECEITA
NOITE DAS CAMÉLIAS;SEG. AC. TRABALHO
NOITE DAS CAMÉLIAS;IGAC / SPA
NOITE DAS CAMÉLIAS;DONATIVO DE PORTA
NOITE DAS CAMÉLIAS;BENGALEIRO
NOITE DAS CAMÉLIAS;APOIO
NOITE DAS CAMÉLIAS;OUTROS
NOITE DAS CAMÉLIAS;BANDA
RECEITA ATIVIDADES CONTRATADAS;RECEITA ATIVIDADES CONTRATADAS
RENDA RESTAURANTE;RENDA RESTAURANTE
SÓCIOS;HOMENAGENS
SÓCIOS;QUOTAS
SÓCIOS;DONATIVO
TEATRO UNIÃO;CENÁRIO
TEATRO UNIÃO;GUARDA ROUPA
TEATRO UNIÃO;PUBLICIDADE
TEATRO UNIÃO;DONATIVO DE PORTA
TEATRO UNIÃO;APOIO
ATIVIDADES DIVERSAS;COMPRAS
ATIVIDADES DIVERSAS;RECEITA
ATIVIDADES DIVERSAS;APOIO
ANIVERSÁRIO SUS;COMPRAS
ANIVERSÁRIO SUS;RECEITA
ANIVERSÁRIO SUS;APOIO
ENCARGOS COM INSTALAÇÕES;CONSUMO ÁGUA (SMAS)
ENCARGOS COM INSTALAÇÕES;CONSUMO ELECTRICIDADE
ENCARGOS COM INSTALAÇÕES;GÁS
ENCARGOS COM INSTALAÇÕES;SECURITAS - ALARME
ENCARGOS COM INSTALAÇÕES;SEGUROS
ENCARGOS COM INSTALAÇÕES;MATERIAL ESCRITÓRIO
ENCARGOS COM INSTALAÇÕES;PRODUTOS DE LIMPEZA
ENCARGOS COM INSTALAÇÕES;COMUNICAÇÕES
ENCARGOS COM INSTALAÇÕES;MANUTENÇÃO / OBRAS
ENCARGOS COM INSTALAÇÕES;DESP. BANCÁRIAS
ENCARGOS COM INSTALAÇÕES;QUOTA - FEDERAÇÃO DAS COLECTIVIDADES
ENCARGOS COM INSTALAÇÕES;IMPOSTOS
ENCARGOS COM INSTALAÇÕES;PUBLICIDADE
ENCARGOS COM INSTALAÇÕES;OUTROS
ENCARGOS COM INSTALAÇÕES;ARTIGOS DECORATIVOS
ENCARGOS COM INSTALAÇÕES;EQUIPAMENTOS
ENCARGOS COM INSTALAÇÕES;ACTIVIDADES VÁRIAS
ENCARGOS COM INSTALAÇÕES;ALUGUER EXTINTORES
ENCARGOS COM INSTALAÇÕES;SERVIÇO DE LIMPEZA
