CENTRO DE CUSTO;RUBRICA
BAR;COMPRAS
BAR;RECEITA
BAR;EQUIPAMENTOS
BAR;MANUTENÇÃO / EQUIPAMENTOS
BAR;ENCARGOS COM COLABORADORES
NOITE DAS CAMÉLIAS;SEG. AC. TRABALHO
NOITE DAS CAMÉLIAS;IGAC / SPA
NOITE DAS CAMÉLIAS;DONATIVO DE PORTA
NOITE DAS CAMÉLIAS;BENGALEIRO
NOITE DAS CAMÉLIAS;APOIO
NOITE DAS CAMÉLIAS;OUTROS
NOITE DAS CAMÉLIAS;BANDA
NOITE DAS CAMÉLIAS;ENCARGOS COM COLABORADORES
ATIVIDADES CONTRATADAS;RECEITA ATIVIDADES CONTRATADAS
SÓCIOS;HOMENAGENS
SÓCIOS;QUOTAS
SÓCIOS;DONATIVO
TEATRO UNIÃO;CENÁRIO
TEATRO UNIÃO;GUARDA ROUPA
TEATRO UNIÃO;PUBLICIDADE
TEATRO UNIÃO;DONATIVO DE PORTA
TEATRO UNIÃO;APOIO
TEATRO UNIÃO;ENCARGOS COM COLABORADORES
ATIVIDADES DIVERSAS;COMPRAS
ATIVIDADES DIVERSAS;RECEITA
ATIVIDADES DIVERSAS;APOIO
ATIVIDADES DIVERSAS;ENCARGOS COM COLABORADORES
ANIVERSÁRIO SUS;COMPRAS
ANIVERSÁRIO SUS;RECEITA
ANIVERSÁRIO SUS;APOIO
ANIVERSÁRIO SUS;ENCARGOS COM COLABORADORES
INSTALAÇÕES;CONSUMO ÁGUA (SMAS)
INSTALAÇÕES;CONSUMO ELECTRICIDADE
INSTALAÇÕES;GÁS
INSTALAÇÕES;SECURITAS - ALARME
INSTALAÇÕES;SEGUROS
INSTALAÇÕES;MATERIAL ESCRITÓRIO
INSTALAÇÕES;PRODUTOS DE LIMPEZA
INSTALAÇÕES;COMUNICAÇÕES
INSTALAÇÕES;MANUTENÇÃO / OBRAS
INSTALAÇÕES;IMPOSTOS
INSTALAÇÕES;PUBLICIDADE
INSTALAÇÕES;OUTROS
INSTALAÇÕES;ARTIGOS DECORATIVOS
INSTALAÇÕES;EQUIPAMENTOS
INSTALAÇÕES;ACTIVIDADES VÁRIAS
INSTALAÇÕES;ALUGUER EXTINTORES
INSTALAÇÕES;SERVIÇO DE LIMPEZA
INSTALAÇÕES;DESP. BANCÁRIAS
INSTALAÇÕES;QUOTA - FEDERAÇÃO DAS COLECTIVIDADES
INSTALAÇÕES;CERTIDÕES E DECLARAÇÕES
INSTALAÇÕES;JARDIM
INSTALAÇÕES;RENDA
INSTALAÇÕES;ENCARGOS COM COLABORADORES
INSTALAÇÕES;IT
